month_idx,lat_cell,lon_cell,chlor_a_mean,sst_mean,sharks_count_mean,years_with_obs,years_total,sharks_presence_rate,chl_norm,sst_norm,sh_norm,risk_score
8,-9,115,0.2617922,26.448333166666668,2.0,1,1,1.0,0.0,0.9999999997646135,1.0,0.0
8,-4,-81,0.7766961,22.199999666666667,1.0,1,1,1.0,0.9999999980578901,0.0,1.0,1.0
9,-23,113,1.295542,23.469999666666663,1.0,1,1,1.0,0.7220391734440584,0.1843737831793113,1.0,0.722
9,-21,116,1.7615138,24.138333,1.0,1,1,1.0,0.9999999994034814,0.2621171005602114,1.0,1.0
9,25,35,0.08512002,30.48166583333333,1.0,1,1,1.0,0.0,0.9999999998836758,1.0,0.0
9,32,-118,0.4116686,21.88499983333333,1.0,1,1,1.0,0.19479228788668476,0.0,1.0,0.195
10,-26,113,1.1539363,21.459999666666665,1.0,1,1,1.0,0.9999999990571916,0.46462971514461116,1.0,1.0
10,-9,115,0.2654022,27.466666333333333,1.0,1,1,1.0,0.162282670747503,0.8379078093730973,1.0,0.162
10,1,124,0.17533673,30.074999833333333,1.0,1,1,1.0,0.07736819768298427,0.999999999937856,1.0,0.077
10,25,-80,0.0932753,29.203333166666667,1.0,1,1,1.0,0.0,0.9458311754979286,1.0,0.0
10,34,-77,0.19251125,25.986665666666667,2.0,1,1,1.0,0.09356047776475188,0.7459346970018061,1.0,0.094
10,44,-64,0.9406891,13.991666666666667,1.0,1,1,1.0,0.7989487679862379,0.0005178767477669396,1.0,0.799
10,51,-6,0.51976097,13.983333166666666,1.0,1,1,1.0,0.40209423142540895,0.0,1.0,0.402
11,-32,115,0.6177785,20.408332833333333,1.0,2,2,1.0,0.9999999980893234,0.0,1.0,1.0
11,-17,146,0.3290145,27.908333,1.0,1,1,1.0,0.44826535749801033,0.8744656406766198,1.0,0.448
11,19,-82,0.094403714,28.98499933333333,1.0,1,1,1.0,0.0,0.9999999998834046,1.0,0.0
11,25,-80,0.123972535,27.891666333333333,1.0,1,1,1.0,0.056496456716016774,0.872522383740522,1.0,0.056
12,-34,134,0.22796312,17.64,1.0,1,1,1.0,0.49856685258134736,0.0,1.0,0.499
12,-1,-91,0.41854742,22.655714,1.0,2,2,1.0,0.9999999973689693,0.41723112099277027,1.0,1.0
12,4,118,0.3632113,29.661428285714287,3.0,1,1,1.0,0.8544089666705056,0.9999999999168152,1.0,0.854
12,9,167,0.038468238,28.62571371428572,1.0,1,1,1.0,0.0,0.9138442997182616,1.0,0.0
12,24,-78,0.18019997,23.869999428571425,1.5,2,2,1.0,0.3729005384649019,0.5182412006281009,1.0,0.373
12,25,-78,0.17854884,25.49428571428572,1.0,1,1,1.0,0.36855636474044934,0.6533571158899675,1.0,0.369
